Specialty,Day,BedsAvailable,BedsUsed
1,1,4,2
1,2,8,2
1,3,9,2
1,4,11,2
1,5,14,2
1,6,15,2
1,7,15,2
3,1,9,2
3,2,9,3
3,3,9,3
3,4,9,3
3,5,10,3
3,6,13,3
3,7,13,3
5,1,11,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,17,0
7,2,18,1
7,3,18,1
7,4,18,1
7,5,18,1
7,6,18,1
7,7,18,1
1,8,15,2
1,9,15,1
1,10,15,1
1,11,15,1
1,12,15,1
1,13,15,0
1,14,15,0
3,8,13,3
3,9,13,1
3,10,13,1
3,11,13,1
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,1
7,9,18,1
7,10,18,1
7,11,18,1
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,2,2
1,-6,2,2
1,-5,2,2
1,-4,3,2
1,-3,3,2
1,-2,4,2
1,-1,4,2
3,-7,10,0
3,-6,12,0
3,-5,8,0
3,-4,8,0
3,-3,8,0
3,-2,9,0
3,-1,9,2
5,-7,6,0
5,-6,11,0
5,-5,11,0
5,-4,11,0
5,-3,11,0
5,-2,11,0
5,-1,11,0
7,-7,15,0
7,-6,17,0
7,-5,17,0
7,-4,17,0
7,-3,17,0
7,-2,17,0
7,-1,17,0
