Specialty,Day,BedsAvailable,BedsUsed
2,1,10,10
2,2,10,10
2,3,10,10
2,4,10,10
2,5,10,10
2,6,10,10
2,7,10,10
3,1,46,20
3,2,46,30
3,3,46,33
3,4,46,35
3,5,46,35
3,6,46,35
3,7,46,35
1,1,32,14
1,2,32,14
1,3,32,14
1,4,32,21
1,5,32,21
1,6,32,21
1,7,32,21
4,1,25,21
4,2,25,24
4,3,25,25
4,4,25,25
4,5,25,25
4,6,25,25
4,7,25,25
2,-7,5,0
2,-6,10,0
2,-5,10,0
2,-4,10,0
2,-3,10,0
2,-2,10,0
2,-1,10,0
3,-7,25,0
3,-6,46,0
3,-5,46,0
3,-4,46,0
3,-3,46,0
3,-2,46,6
3,-1,46,15
1,-7,13,0
1,-6,32,0
1,-5,32,0
1,-4,32,0
1,-3,32,0
1,-2,32,1
1,-1,32,1
4,-7,15,0
4,-6,25,0
4,-5,25,5
4,-4,25,9
4,-3,25,9
4,-2,25,16
4,-1,25,18
