Specialty,Day,BedsAvailable,BedsUsed
2,1,10,10
2,2,10,10
2,3,10,10
2,4,10,10
2,5,10,10
2,6,10,10
2,7,10,10
3,1,46,23
3,2,46,31
3,3,46,32
3,4,46,34
3,5,46,34
3,6,46,34
3,7,46,34
1,1,32,14
1,2,32,15
1,3,32,15
1,4,32,18
1,5,32,18
1,6,32,18
1,7,32,18
4,1,25,23
4,2,25,24
4,3,25,24
4,4,25,24
4,5,25,24
4,6,25,24
4,7,25,24
2,-7,5,0
2,-6,10,0
2,-5,10,0
2,-4,10,0
2,-3,10,0
2,-2,10,0
2,-1,10,0
3,-7,25,0
3,-6,46,0
3,-5,46,0
3,-4,46,0
3,-3,46,0
3,-2,46,7
3,-1,46,12
1,-7,13,0
1,-6,32,0
1,-5,32,0
1,-4,32,0
1,-3,32,0
1,-2,32,0
1,-1,32,0
4,-7,15,0
4,-6,25,0
4,-5,25,4
4,-4,25,7
4,-3,25,7
4,-2,25,11
4,-1,25,18
