Specialty,Day,BedsAvailable,BedsUsed
1,1,9,1
1,2,11,1
1,3,11,1
1,4,11,1
1,5,12,1
1,6,15,1
1,7,15,1
3,1,13,1
3,2,13,1
3,3,13,1
3,4,13,1
3,5,13,1
3,6,13,1
3,7,13,1
5,1,12,0
5,2,12,0
5,3,12,0
5,4,12,0
5,5,12,0
5,6,12,0
5,7,12,0
7,1,18,0
7,2,18,0
7,3,18,0
7,4,18,0
7,5,18,0
7,6,18,0
7,7,18,0
1,8,15,1
1,9,15,0
1,10,15,0
1,11,15,0
1,12,15,0
1,13,15,0
1,14,15,0
3,8,13,1
3,9,13,0
3,10,13,0
3,11,13,0
3,12,13,0
3,13,13,0
3,14,13,0
5,8,12,0
5,9,12,0
5,10,12,0
5,11,12,0
5,12,12,0
5,13,12,0
5,14,12,0
7,8,18,0
7,9,18,0
7,10,18,0
7,11,18,0
7,12,18,0
7,13,18,0
7,14,18,0
1,-7,2,1
1,-6,4,1
1,-5,4,1
1,-4,4,1
1,-3,5,1
1,-2,9,1
1,-1,9,1
3,-7,4,0
3,-6,5,0
3,-5,6,0
3,-4,7,0
3,-3,11,0
3,-2,13,0
3,-1,13,0
5,-7,12,0
5,-6,12,0
5,-5,12,0
5,-4,12,0
5,-3,12,0
5,-2,12,0
5,-1,12,0
7,-7,18,0
7,-6,18,0
7,-5,18,0
7,-4,18,0
7,-3,18,0
7,-2,18,0
7,-1,18,0
1,-14,1,1
1,-13,1,1
1,-12,1,1
1,-11,1,1
1,-10,1,1
1,-9,2,1
1,-8,2,1
3,-14,3,0
3,-13,0,0
3,-12,0,0
3,-11,2,0
3,-10,3,0
3,-9,4,0
3,-8,4,0
5,-14,12,0
5,-13,12,0
5,-12,12,0
5,-11,12,0
5,-10,12,0
5,-9,12,0
5,-8,12,0
7,-14,18,0
7,-13,18,0
7,-12,18,0
7,-11,18,0
7,-10,18,0
7,-9,18,0
7,-8,18,0
1,-21,3,0
1,-20,3,0
1,-19,0,0
1,-18,1,0
1,-17,1,0
1,-16,1,1
1,-15,1,1
3,-21,0,0
3,-20,0,0
3,-19,0,0
3,-18,2,0
3,-17,5,0
3,-16,6,0
3,-15,6,0
5,-21,12,0
5,-20,12,0
5,-19,12,0
5,-18,12,0
5,-17,12,0
5,-16,12,0
5,-15,12,0
7,-21,18,0
7,-20,18,0
7,-19,18,0
7,-18,18,0
7,-17,18,0
7,-16,18,0
7,-15,18,0
