Specialty,Day,BedsAvailable,BedsUsed
1,1,15,12
1,2,15,12
1,3,15,12
1,4,15,12
1,5,15,12
1,6,15,12
1,7,15,12
3,1,13,5
3,2,13,5
3,3,13,5
3,4,13,5
3,5,13,5
3,6,13,5
3,7,13,5
5,1,12,0
5,2,12,1
5,3,12,1
5,4,12,1
5,5,12,1
5,6,12,1
5,7,12,1
7,1,18,4
7,2,18,5
7,3,18,5
7,4,18,5
7,5,18,5
7,6,18,5
7,7,18,5
1,-7,12,12
1,-6,12,12
1,-5,12,12
1,-4,12,12
1,-3,12,12
1,-2,12,12
1,-1,12,12
3,-7,12,0
3,-6,11,0
3,-5,7,0
3,-4,7,0
3,-3,7,0
3,-2,7,0
3,-1,7,5
5,-7,11,0
5,-6,11,0
5,-5,11,0
5,-4,11,0
5,-3,11,0
5,-2,11,0
5,-1,11,0
7,-7,17,0
7,-6,16,0
7,-5,16,0
7,-4,16,0
7,-3,16,0
7,-2,16,2
7,-1,16,3
